infraction_description,set_fine_amount,location2
PARK-WITHIN 3M OF FIRE HYDRANT,100,44 LILLIAN ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,389 QUEEN ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,380 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,43 HANNA AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,5533 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,10 COURT ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,361 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,5418 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,100 MAUD ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,5100 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,5494 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,KING ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,788 KING ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,362 SHAW ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,416 QUEEN ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,439 KING ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,270 MCROBERTS AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,MCROBERTS AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,17 NIAGARA ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,9 NIAGARA ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,166 GRENADIER RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,166 GRENADIER RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,245 MONTROSE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,25 RICHVIEW RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,141 GRENADIER RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,26 SILVER AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,1573 BLOOR ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,111 BOND ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,222 ELM ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,1871 WESTON RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,309 THE KINGSWAY
PARK-WITHIN 3M OF FIRE HYDRANT,100,25 COBALT AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,BEECROFT RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,20 BRUNEL CRT
PARK-WITHIN 3M OF FIRE HYDRANT,100,5000 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,185 GREENWOOD AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,220 MANITOBA ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,133 RUSHOLME RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,45 WILLIAM DUNCAN RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,45 WILLIAM DUNCAN RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,99 YORKVILLE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,334 DUNDAS ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,13 HOSKIN AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,25 MABELLE
PARK-WITHIN 3M OF FIRE HYDRANT,100,27 RANKIN CRES
PARK-WITHIN 3M OF FIRE HYDRANT,100,554 ROXTON RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,17 BROADWAY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,34 HELENDALE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,133 SOUDAN AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,HOUSEY ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,427 QUEEN ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,40 EAST LIBERTY ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,150 GREENWOOD AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,77 LEITCH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,175 MCCORMACK ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,361 FRONT ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,44 LILLIAN ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,HOUSEY ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,100 COSBURN AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,33 MILL ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,288 QUEEN ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,318 QUEEN ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,99 TYNDALL AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,889 GERRARD ST E
PARK-WITHIN 3M OF FIRE HYDRANT,100,159 WILLIAM DUNCAN RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,61 LEXFIELD AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,HOUSEY ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,1170 QUEEN ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,26 GREENLEAF TER
PARK-WITHIN 3M OF FIRE HYDRANT,100,152 WOLVERLEIGH BLVD
PARK-WITHIN 3M OF FIRE HYDRANT,100,1572 DUNDAS ST E
PARK-WITHIN 3M OF FIRE HYDRANT,100,44 LILLIAN ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,41 MABELLE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,165 ISLINGTON AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,14 BROADWAY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,15 LEITCH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,23 HERZBERG GDNS
PARK-WITHIN 3M OF FIRE HYDRANT,100,113 BALLIOL ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,114 HARDING BLVD
PARK-WITHIN 3M OF FIRE HYDRANT,100,610 QUEEN ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,205 GRENADIER RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,220 MANITOBA ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,48 CROHAM RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,4047 OLD DUNDAS ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,PALMERSTON AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,820 PALMERSTON AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,484 FRONT ST E
PARK-WITHIN 3M OF FIRE HYDRANT,100,123 SUNNYSIDE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,122 ROSEDALE HEIGHTS DR
PARK-WITHIN 3M OF FIRE HYDRANT,100,61 LEXFIELD AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,73 BAINBRIDGE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,505 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,5150 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,5100 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,377 MADISON AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,33 WILLCOCKS ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,400 ARLINGTON AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,358 WINONA DR
PARK-WITHIN 3M OF FIRE HYDRANT,100,DORIS AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,393 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,505 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,474 WELLINGTON ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,21 ST JOSEPH ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,21 ST JOSEPH ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,83 LILLIAN ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,11 LILLIAN ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,20 ALBERT ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,2477 BLOOR ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,310 SPADINA AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,255 HURON ST
