tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***90438,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0202,NR,100 GAMBLE AVE,,,ON
***21717,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0203,NR,27 WINNIFRED AVE,,,ON
***21718,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0204,NR,27 WINNIFRED AVE,,,ON
***22087,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0204,OPP,24 NOBLE ST,,,ON
***32866,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0204,S/S,SYCAMORE PL,E/O,BALSAM AVE,ON
***27455,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0205,NR,27 WINNIFRED AVE,,,ON
***53500,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0206,NR,37 WINNIFRED AVE,,,ON
***84416,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0206,OPP,680 RIDELLE AVE,,,ON
***32867,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0207,NR,67 BALSAM AVE,,,ON
***59133,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0208,NR,53 WINNIFRED AVE,,,ON
***59134,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0209,NR,53 WINNIFRED AVE,,,ON
***90439,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0211,NR,100 GAMBLE AVE,,,ON
***64140,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0213,NR,81 HIAWATHA RD,,,ON
***88915,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0213,OPP,515 ROSEWELL AVE,,,ON
***59135,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0214,NR,19 CAROLINE AVE,,,ON
***32868,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0214,S/S,SYCAMORE PL,W/O,BEECH AVE,ON
