infraction_description,set_fine_amount,location2
PARK PROHIBITED TIME NO PERMIT,30,5 SIDNEY ST
PARK PROHIBITED TIME NO PERMIT,30,52 MCMURRICH ST
PARK PROHIBITED TIME NO PERMIT,30,147 SUNNYSIDE AVE
PARK PROHIBITED TIME NO PERMIT,30,41 HUNTLEY ST
PARK PROHIBITED TIME NO PERMIT,30,714 BROCK AVE
PARK PROHIBITED TIME NO PERMIT,30,73 BERNARD AVE
PARK PROHIBITED TIME NO PERMIT,30,47 WANLESS AVE
PARK PROHIBITED TIME NO PERMIT,30,62 GLENDALE AVE
STAND VEH.-PROHIBIT TIME/DAY,100,50 PORTLAND ST
PARK PROHIBITED TIME NO PERMIT,30,375 MARGUERETTA ST
PARK PROHIBITED TIME NO PERMIT,30,153 PEARSON AVE
PARK PROHIBITED TIME NO PERMIT,30,29 DRAPER ST
PARK PROHIBITED TIME NO PERMIT,30,27 LONDON ST
PARK PROHIBITED TIME NO PERMIT,30,93 GALLEY AVE
PARK PROHIBITED TIME NO PERMIT,30,549 ST CLARENS AVE
PARK PROHIBITED TIME NO PERMIT,30,151 WOODINGTON AVE
PARK PROHIBITED TIME NO PERMIT,30,157 GARDEN AVE
PARK PROHIBITED TIME NO PERMIT,30,83 MACPHERSON AVE
PARK PROHIBITED TIME NO PERMIT,30,PATON RD
PARK PROHIBITED TIME NO PERMIT,30,137 WOODINGTON AVE
PARK PROHIBITED TIME NO PERMIT,30,PATON RD
PARK PROHIBITED TIME NO PERMIT,30,53 RADFORD AVE
PARK PROHIBITED TIME NO PERMIT,30,407 BRUNSWICK AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,16 BOAKE ST
STAND VEH.-PROHIBIT TIME/DAY,100,40 SCOLLARD ST
PARK PROHIBITED TIME NO PERMIT,30,PATON RD
PARK-SIGNED HWY-EXC PERMT TIME,40,20 BOAKE ST
PARK PROHIBITED TIME NO PERMIT,30,395 BRUNSWICK AVE
PARK PROHIBITED TIME NO PERMIT,30,57 MACPHERSON AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,24 BOAKE ST
PARK-SIGNED HWY-EXC PERMT TIME,40,28 BOAKE ST
PARK PROHIBITED TIME NO PERMIT,30,45 RADFORD AVE
PARK PROHIBITED TIME NO PERMIT,30,82 WOODINGTON AVE
PARK PROHIBITED TIME NO PERMIT,30,45 MACPHERSON AVE
PARK PROHIBITED TIME NO PERMIT,30,PATON RD
PARK-SIGNED HWY-EXC PERMT TIME,40,32 BOAKE ST
PARK PROHIBITED TIME NO PERMIT,30,30 EDMUND AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,34 BOAKE ST
PARK PROHIBITED TIME NO PERMIT,30,30 EDMUND AVE
PARK PROHIBITED TIME NO PERMIT,30,53 HOWLAND AVE
PARK PROHIBITED TIME NO PERMIT,30,33 MACPHERSON AVE
PARK PROHIBITED TIME NO PERMIT,30,58 EMERSON AVE
PARK PROHIBITED TIME NO PERMIT,30,18 EDMUND AVE
PARK PROHIBITED TIME NO PERMIT,30,38 JOE SHUSTER WAY
PARK-SIGNED HWY-EXC PERMT TIME,40,331 ASSINIBOINE RD
PARK PROHIBITED TIME NO PERMIT,30,58 EMERSON AVE
PARK PROHIBITED TIME NO PERMIT,30,10 EDMUND AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,331 ASSINIBOINE RD
PARK PROHIBITED TIME NO PERMIT,30,103 HOWLAND AVE
PARK PROHIBITED TIME NO PERMIT,30,103 HOWLAND AVE
PARK PROHIBITED TIME NO PERMIT,30,103 HOWLAND AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,277 ASSINIBOINE RD
PARK PROHIBITED TIME NO PERMIT,30,103 HOWLAND AVE
PARK PROHIBITED TIME NO PERMIT,30,113 VICTOR AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,255 ASSINIBOINE RD
PARK PROHIBITED TIME NO PERMIT,30,24 EMERSON AVE
PARK PROHIBITED TIME NO PERMIT,30,127 SUNNYSIDE AVE
STAND VEH.-PROHIBIT TIME/DAY,100,24 ANGLESEY BLVD
PARK-SIGNED HWY-EXC PERMT TIME,40,239 ASSINIBOINE RD
PARK PROHIBITED TIME NO PERMIT,30,179 QUEENSDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,27 ROXBOROUGH ST W
PARK PROHIBITED TIME NO PERMIT,30,10 PARKDALE RD
PARK PROHIBITED TIME NO PERMIT,30,121 HOWLAND AVE
PARK PROHIBITED TIME NO PERMIT,30,108 SIMPSON AVE
PARK PROHIBITED TIME NO PERMIT,30,177 QUEENSDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,121 HOWLAND AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,52 HAYNES AVE
PARK PROHIBITED TIME NO PERMIT,30,100 SIMPSON AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,68 HAYNES AVE
PARK PROHIBITED TIME NO PERMIT,30,27 CROCKER AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,66 HAYNES AVE
PARK PROHIBITED TIME NO PERMIT,30,85 GLENDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,88 SIMPSON AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,76 HAYNES AVE
PARK PROHIBITED TIME NO PERMIT,30,93 PEARS AVE
PARK PROHIBITED TIME NO PERMIT,30,31 CROCKER AVE
PARK PROHIBITED TIME NO PERMIT,30,119 ROXBOROUGH ST W
PARK PROHIBITED TIME NO PERMIT,30,85 PEARS AVE
PARK PROHIBITED TIME NO PERMIT,30,125 ROXBOROUGH ST W
PARK PROHIBITED TIME NO PERMIT,30,82 SIMPSON AVE
PARK PROHIBITED TIME NO PERMIT,30,82 SIMPSON AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,17 HAYNES AVE
